from_str,to_str,value,from,to
"[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]","[(0, 6), (1, 0), (2, 0), (4, 1)]",C,4,52
"[(0, 1), (0, 6), (1, 0), (2, 0), (4, 0)]","[(0, 6), (1, 0), (2, 0), (4, 1)]",C,37,52
"[(1, 6), (2, 0), (4, 1)]","[(0, 6), (1, 0), (2, 0), (4, 1)]",R,99,52
"[(1, 0), (2, 6), (4, 1)]","[(0, 6), (1, 0), (2, 0), (4, 1)]",R,102,52
"[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]","[(0, 4), (1, 0), (2, 0), (4, 3)]",C,4,53
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 4), (1, 0), (2, 0), (4, 3)]",C,7,53
"[(0, 3), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 4), (1, 0), (2, 0), (4, 3)]",C,35,53
"[(1, 4), (2, 0), (4, 3)]","[(0, 4), (1, 0), (2, 0), (4, 3)]",R,104,53
"[(1, 0), (2, 4), (4, 3)]","[(0, 4), (1, 0), (2, 0), (4, 3)]",R,106,53
"[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]","[(0, 2), (1, 0), (2, 0), (4, 5)]",C,4,54
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 2), (1, 0), (2, 0), (4, 5)]",C,10,54
"[(0, 2), (0, 5), (1, 0), (2, 0), (4, 0)]","[(0, 2), (1, 0), (2, 0), (4, 5)]",C,36,54
"[(1, 2), (2, 0), (4, 5)]","[(0, 2), (1, 0), (2, 0), (4, 5)]",R,100,54
"[(1, 0), (2, 2), (4, 5)]","[(0, 2), (1, 0), (2, 0), (4, 5)]",R,103,54
"[(0, 2), (0, 4), (1, 0), (2, 0), (4, 1)]","[(0, 2), (0, 4), (3, 0), (4, 1)]",C,4,55
"[(0, 1), (0, 2), (0, 4), (3, 0), (4, 0)]","[(0, 2), (0, 4), (3, 0), (4, 1)]",C,38,55
"[(0, 4), (3, 2), (4, 1)]","[(0, 2), (0, 4), (3, 0), (4, 1)]",R,101,55
"[(0, 2), (3, 4), (4, 1)]","[(0, 2), (0, 4), (3, 0), (4, 1)]",R,105,55
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 5), (1, 2), (2, 0), (4, 0)]",C,5,56
"[(0, 2), (0, 5), (1, 0), (2, 0), (4, 0)]","[(0, 5), (1, 2), (2, 0), (4, 0)]",C,36,56
"[(1, 2), (2, 5), (4, 0)]","[(0, 5), (1, 2), (2, 0), (4, 0)]",R,90,56
"[(1, 2), (2, 0), (4, 5)]","[(0, 5), (1, 2), (2, 0), (4, 0)]",R,100,56
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 1), (1, 6), (2, 0), (4, 0)]",C,5,57
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 1), (1, 6), (2, 0), (4, 0)]",C,8,57
"[(0, 1), (0, 6), (1, 0), (2, 0), (4, 0)]","[(0, 1), (1, 6), (2, 0), (4, 0)]",C,37,57
"[(1, 6), (2, 1), (4, 0)]","[(0, 1), (1, 6), (2, 0), (4, 0)]",R,89,57
"[(1, 6), (2, 0), (4, 1)]","[(0, 1), (1, 6), (2, 0), (4, 0)]",R,99,57
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 1), (0, 4), (3, 2), (4, 0)]",C,5,58
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 1), (0, 4), (3, 2), (4, 0)]",C,6,58
"[(0, 1), (0, 2), (0, 4), (3, 0), (4, 0)]","[(0, 1), (0, 4), (3, 2), (4, 0)]",C,38,58
"[(0, 4), (3, 2), (4, 1)]","[(0, 1), (0, 4), (3, 2), (4, 0)]",R,101,58
"[(0, 1), (3, 2), (4, 4)]","[(0, 1), (0, 4), (3, 2), (4, 0)]",R,109,58
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 1), (0, 4), (2, 0), (5, 2)]",C,5,59
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 1), (0, 4), (2, 0), (5, 2)]",C,7,59
"[(0, 1), (0, 2), (0, 4), (2, 0), (5, 0)]","[(0, 1), (0, 4), (2, 0), (5, 2)]",C,39,59
"[(0, 4), (2, 1), (5, 2)]","[(0, 1), (0, 4), (2, 0), (5, 2)]",R,91,59
"[(0, 1), (2, 4), (5, 2)]","[(0, 1), (0, 4), (2, 0), (5, 2)]",R,107,59
"[(0, 1), (0, 4), (1, 2), (2, 0), (4, 0)]","[(0, 1), (0, 4), (1, 2), (6, 0)]",C,5,60
"[(0, 1), (0, 2), (0, 4), (1, 0), (6, 0)]","[(0, 1), (0, 4), (1, 2), (6, 0)]",C,40,60
"[(0, 4), (1, 2), (6, 1)]","[(0, 1), (0, 4), (1, 2), (6, 0)]",R,92,60
"[(0, 1), (1, 2), (6, 4)]","[(0, 1), (0, 4), (1, 2), (6, 0)]",R,108,60
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 5), (1, 0), (2, 2), (4, 0)]",C,6,61
"[(0, 2), (0, 5), (1, 0), (2, 0), (4, 0)]","[(0, 5), (1, 0), (2, 2), (4, 0)]",C,36,61
"[(1, 5), (2, 2), (4, 0)]","[(0, 5), (1, 0), (2, 2), (4, 0)]",R,77,61
"[(1, 0), (2, 2), (4, 5)]","[(0, 5), (1, 0), (2, 2), (4, 0)]",R,103,61
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 1), (1, 0), (2, 6), (4, 0)]",C,6,62
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 1), (1, 0), (2, 6), (4, 0)]",C,9,62
"[(0, 1), (0, 6), (1, 0), (2, 0), (4, 0)]","[(0, 1), (1, 0), (2, 6), (4, 0)]",C,37,62
"[(1, 1), (2, 6), (4, 0)]","[(0, 1), (1, 0), (2, 6), (4, 0)]",R,78,62
"[(1, 0), (2, 6), (4, 1)]","[(0, 1), (1, 0), (2, 6), (4, 0)]",R,102,62
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 1), (0, 4), (2, 2), (5, 0)]",C,6,63
"[(0, 1), (0, 2), (0, 4), (2, 0), (5, 0)]","[(0, 1), (0, 4), (2, 2), (5, 0)]",C,39,63
"[(0, 4), (2, 2), (5, 1)]","[(0, 1), (0, 4), (2, 2), (5, 0)]",R,79,63
"[(0, 1), (2, 2), (5, 4)]","[(0, 1), (0, 4), (2, 2), (5, 0)]",R,110,63
"[(0, 1), (0, 4), (1, 0), (2, 2), (4, 0)]","[(0, 1), (0, 4), (1, 0), (6, 2)]",C,6,64
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 1), (0, 4), (1, 0), (6, 2)]",C,7,64
"[(0, 1), (0, 2), (0, 4), (1, 0), (6, 0)]","[(0, 1), (0, 4), (1, 0), (6, 2)]",C,40,64
"[(0, 4), (1, 1), (6, 2)]","[(0, 1), (0, 4), (1, 0), (6, 2)]",R,80,64
"[(0, 1), (1, 4), (6, 2)]","[(0, 1), (0, 4), (1, 0), (6, 2)]",R,111,64
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 5), (1, 0), (2, 0), (4, 2)]",C,7,65
"[(0, 2), (0, 5), (1, 0), (2, 0), (4, 0)]","[(0, 5), (1, 0), (2, 0), (4, 2)]",C,36,65
"[(1, 5), (2, 0), (4, 2)]","[(0, 5), (1, 0), (2, 0), (4, 2)]",R,81,65
"[(1, 0), (2, 5), (4, 2)]","[(0, 5), (1, 0), (2, 0), (4, 2)]",R,93,65
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 1), (1, 0), (2, 0), (4, 6)]",C,7,66
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 1), (1, 0), (2, 0), (4, 6)]",C,10,66
"[(0, 1), (0, 6), (1, 0), (2, 0), (4, 0)]","[(0, 1), (1, 0), (2, 0), (4, 6)]",C,37,66
"[(1, 1), (2, 0), (4, 6)]","[(0, 1), (1, 0), (2, 0), (4, 6)]",R,82,66
"[(1, 0), (2, 1), (4, 6)]","[(0, 1), (1, 0), (2, 0), (4, 6)]",R,94,66
"[(0, 1), (0, 4), (1, 0), (2, 0), (4, 2)]","[(0, 1), (0, 4), (3, 0), (4, 2)]",C,7,67
"[(0, 1), (0, 2), (0, 4), (3, 0), (4, 0)]","[(0, 1), (0, 4), (3, 0), (4, 2)]",C,38,67
"[(0, 4), (3, 1), (4, 2)]","[(0, 1), (0, 4), (3, 0), (4, 2)]",R,83,67
"[(0, 1), (3, 4), (4, 2)]","[(0, 1), (0, 4), (3, 0), (4, 2)]",R,112,67
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 3), (1, 4), (2, 0), (4, 0)]",C,8,68
"[(0, 3), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 3), (1, 4), (2, 0), (4, 0)]",C,35,68
"[(1, 4), (2, 3), (4, 0)]","[(0, 3), (1, 4), (2, 0), (4, 0)]",R,95,68
"[(1, 4), (2, 0), (4, 3)]","[(0, 3), (1, 4), (2, 0), (4, 0)]",R,104,68
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 1), (0, 2), (3, 4), (4, 0)]",C,8,69
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 1), (0, 2), (3, 4), (4, 0)]",C,9,69
"[(0, 1), (0, 2), (0, 4), (3, 0), (4, 0)]","[(0, 1), (0, 2), (3, 4), (4, 0)]",C,38,69
"[(0, 2), (3, 4), (4, 1)]","[(0, 1), (0, 2), (3, 4), (4, 0)]",R,105,69
"[(0, 1), (3, 4), (4, 2)]","[(0, 1), (0, 2), (3, 4), (4, 0)]",R,112,69
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 1), (0, 2), (2, 0), (5, 4)]",C,8,70
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 1), (0, 2), (2, 0), (5, 4)]",C,10,70
"[(0, 1), (0, 2), (0, 4), (2, 0), (5, 0)]","[(0, 1), (0, 2), (2, 0), (5, 4)]",C,39,70
"[(0, 2), (2, 1), (5, 4)]","[(0, 1), (0, 2), (2, 0), (5, 4)]",R,96,70
"[(0, 1), (2, 2), (5, 4)]","[(0, 1), (0, 2), (2, 0), (5, 4)]",R,110,70
"[(0, 1), (0, 2), (1, 4), (2, 0), (4, 0)]","[(0, 1), (0, 2), (1, 4), (6, 0)]",C,8,71
"[(0, 1), (0, 2), (0, 4), (1, 0), (6, 0)]","[(0, 1), (0, 2), (1, 4), (6, 0)]",C,40,71
"[(0, 2), (1, 4), (6, 1)]","[(0, 1), (0, 2), (1, 4), (6, 0)]",R,97,71
"[(0, 1), (1, 4), (6, 2)]","[(0, 1), (0, 2), (1, 4), (6, 0)]",R,111,71
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 3), (1, 0), (2, 4), (4, 0)]",C,9,72
"[(0, 3), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 3), (1, 0), (2, 4), (4, 0)]",C,35,72
"[(1, 3), (2, 4), (4, 0)]","[(0, 3), (1, 0), (2, 4), (4, 0)]",R,84,72
"[(1, 0), (2, 4), (4, 3)]","[(0, 3), (1, 0), (2, 4), (4, 0)]",R,106,72
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 1), (0, 2), (2, 4), (5, 0)]",C,9,73
"[(0, 1), (0, 2), (0, 4), (2, 0), (5, 0)]","[(0, 1), (0, 2), (2, 4), (5, 0)]",C,39,73
"[(0, 2), (2, 4), (5, 1)]","[(0, 1), (0, 2), (2, 4), (5, 0)]",R,85,73
"[(0, 1), (2, 4), (5, 2)]","[(0, 1), (0, 2), (2, 4), (5, 0)]",R,107,73
"[(0, 1), (0, 2), (1, 0), (2, 4), (4, 0)]","[(0, 1), (0, 2), (1, 0), (6, 4)]",C,9,74
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 1), (0, 2), (1, 0), (6, 4)]",C,10,74
"[(0, 1), (0, 2), (0, 4), (1, 0), (6, 0)]","[(0, 1), (0, 2), (1, 0), (6, 4)]",C,40,74
"[(0, 2), (1, 1), (6, 4)]","[(0, 1), (0, 2), (1, 0), (6, 4)]",R,86,74
"[(0, 1), (1, 2), (6, 4)]","[(0, 1), (0, 2), (1, 0), (6, 4)]",R,108,74
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 3), (1, 0), (2, 0), (4, 4)]",C,10,75
"[(0, 3), (0, 4), (1, 0), (2, 0), (4, 0)]","[(0, 3), (1, 0), (2, 0), (4, 4)]",C,35,75
"[(1, 3), (2, 0), (4, 4)]","[(0, 3), (1, 0), (2, 0), (4, 4)]",R,87,75
"[(1, 0), (2, 3), (4, 4)]","[(0, 3), (1, 0), (2, 0), (4, 4)]",R,98,75
"[(0, 1), (0, 2), (1, 0), (2, 0), (4, 4)]","[(0, 1), (0, 2), (3, 0), (4, 4)]",C,10,76
"[(0, 1), (0, 2), (0, 4), (3, 0), (4, 0)]","[(0, 1), (0, 2), (3, 0), (4, 4)]",C,38,76
"[(0, 2), (3, 1), (4, 4)]","[(0, 1), (0, 2), (3, 0), (4, 4)]",R,88,76
"[(0, 1), (3, 2), (4, 4)]","[(0, 1), (0, 2), (3, 0), (4, 4)]",R,109,76
"[(0, 4), (1, 1), (2, 2), (4, 0)]","[(1, 5), (2, 2), (4, 0)]",C,11,77
"[(0, 1), (1, 4), (2, 2), (4, 0)]","[(1, 5), (2, 2), (4, 0)]",C,25,77
"[(0, 2), (1, 5), (2, 0), (4, 0)]","[(1, 5), (2, 2), (4, 0)]",C,43,77
"[(0, 5), (1, 0), (2, 2), (4, 0)]","[(1, 5), (2, 2), (4, 0)]",C,61,77
"[(0, 4), (1, 1), (2, 2), (4, 0)]","[(1, 1), (2, 6), (4, 0)]",C,11,78
"[(0, 2), (1, 1), (2, 4), (4, 0)]","[(1, 1), (2, 6), (4, 0)]",C,13,78
"[(0, 6), (1, 1), (2, 0), (4, 0)]","[(1, 1), (2, 6), (4, 0)]",C,41,78
"[(0, 1), (1, 0), (2, 6), (4, 0)]","[(1, 1), (2, 6), (4, 0)]",C,62,78
"[(0, 4), (1, 1), (2, 2), (4, 0)]","[(0, 4), (2, 2), (5, 1)]",C,11,79
"[(0, 4), (1, 0), (2, 2), (4, 1)]","[(0, 4), (2, 2), (5, 1)]",C,20,79
"[(0, 2), (0, 4), (2, 0), (5, 1)]","[(0, 4), (2, 2), (5, 1)]",C,45,79
"[(0, 1), (0, 4), (2, 2), (5, 0)]","[(0, 4), (2, 2), (5, 1)]",C,63,79
"[(0, 4), (1, 1), (2, 2), (4, 0)]","[(0, 4), (1, 1), (6, 2)]",C,11,80
"[(0, 4), (1, 1), (2, 0), (4, 2)]","[(0, 4), (1, 1), (6, 2)]",C,12,80
"[(0, 2), (0, 4), (1, 1), (6, 0)]","[(0, 4), (1, 1), (6, 2)]",C,46,80
"[(0, 1), (0, 4), (1, 0), (6, 2)]","[(0, 4), (1, 1), (6, 2)]",C,64,80
"[(0, 4), (1, 1), (2, 0), (4, 2)]","[(1, 5), (2, 0), (4, 2)]",C,12,81
"[(0, 1), (1, 4), (2, 0), (4, 2)]","[(1, 5), (2, 0), (4, 2)]",C,27,81
"[(0, 2), (1, 5), (2, 0), (4, 0)]","[(1, 5), (2, 0), (4, 2)]",C,43,81
"[(0, 5), (1, 0), (2, 0), (4, 2)]","[(1, 5), (2, 0), (4, 2)]",C,65,81
"[(0, 4), (1, 1), (2, 0), (4, 2)]","[(1, 1), (2, 0), (4, 6)]",C,12,82
"[(0, 2), (1, 1), (2, 0), (4, 4)]","[(1, 1), (2, 0), (4, 6)]",C,14,82
"[(0, 6), (1, 1), (2, 0), (4, 0)]","[(1, 1), (2, 0), (4, 6)]",C,41,82
"[(0, 1), (1, 0), (2, 0), (4, 6)]","[(1, 1), (2, 0), (4, 6)]",C,66,82
"[(0, 4), (1, 1), (2, 0), (4, 2)]","[(0, 4), (3, 1), (4, 2)]",C,12,83
"[(0, 4), (1, 0), (2, 1), (4, 2)]","[(0, 4), (3, 1), (4, 2)]",C,16,83
"[(0, 2), (0, 4), (3, 1), (4, 0)]","[(0, 4), (3, 1), (4, 2)]",C,44,83
"[(0, 1), (0, 4), (3, 0), (4, 2)]","[(0, 4), (3, 1), (4, 2)]",C,67,83
"[(0, 2), (1, 1), (2, 4), (4, 0)]","[(1, 3), (2, 4), (4, 0)]",C,13,84
"[(0, 1), (1, 2), (2, 4), (4, 0)]","[(1, 3), (2, 4), (4, 0)]",C,23,84
"[(0, 4), (1, 3), (2, 0), (4, 0)]","[(1, 3), (2, 4), (4, 0)]",C,42,84
"[(0, 3), (1, 0), (2, 4), (4, 0)]","[(1, 3), (2, 4), (4, 0)]",C,72,84
"[(0, 2), (1, 1), (2, 4), (4, 0)]","[(0, 2), (2, 4), (5, 1)]",C,13,85
"[(0, 2), (1, 0), (2, 4), (4, 1)]","[(0, 2), (2, 4), (5, 1)]",C,22,85
"[(0, 2), (0, 4), (2, 0), (5, 1)]","[(0, 2), (2, 4), (5, 1)]",C,45,85
"[(0, 1), (0, 2), (2, 4), (5, 0)]","[(0, 2), (2, 4), (5, 1)]",C,73,85
"[(0, 2), (1, 1), (2, 4), (4, 0)]","[(0, 2), (1, 1), (6, 4)]",C,13,86
"[(0, 2), (1, 1), (2, 0), (4, 4)]","[(0, 2), (1, 1), (6, 4)]",C,14,86
"[(0, 2), (0, 4), (1, 1), (6, 0)]","[(0, 2), (1, 1), (6, 4)]",C,46,86
"[(0, 1), (0, 2), (1, 0), (6, 4)]","[(0, 2), (1, 1), (6, 4)]",C,74,86
"[(0, 2), (1, 1), (2, 0), (4, 4)]","[(1, 3), (2, 0), (4, 4)]",C,14,87
"[(0, 1), (1, 2), (2, 0), (4, 4)]","[(1, 3), (2, 0), (4, 4)]",C,24,87
"[(0, 4), (1, 3), (2, 0), (4, 0)]","[(1, 3), (2, 0), (4, 4)]",C,42,87
"[(0, 3), (1, 0), (2, 0), (4, 4)]","[(1, 3), (2, 0), (4, 4)]",C,75,87
"[(0, 2), (1, 1), (2, 0), (4, 4)]","[(0, 2), (3, 1), (4, 4)]",C,14,88
"[(0, 2), (1, 0), (2, 1), (4, 4)]","[(0, 2), (3, 1), (4, 4)]",C,18,88
"[(0, 2), (0, 4), (3, 1), (4, 0)]","[(0, 2), (3, 1), (4, 4)]",C,44,88
"[(0, 1), (0, 2), (3, 0), (4, 4)]","[(0, 2), (3, 1), (4, 4)]",C,76,88
"[(0, 4), (1, 2), (2, 1), (4, 0)]","[(1, 6), (2, 1), (4, 0)]",C,15,89
"[(0, 2), (1, 4), (2, 1), (4, 0)]","[(1, 6), (2, 1), (4, 0)]",C,17,89
"[(0, 6), (1, 0), (2, 1), (4, 0)]","[(1, 6), (2, 1), (4, 0)]",C,47,89
"[(0, 1), (1, 6), (2, 0), (4, 0)]","[(1, 6), (2, 1), (4, 0)]",C,57,89
"[(0, 4), (1, 2), (2, 1), (4, 0)]","[(1, 2), (2, 5), (4, 0)]",C,15,90
"[(0, 1), (1, 2), (2, 4), (4, 0)]","[(1, 2), (2, 5), (4, 0)]",C,23,90
"[(0, 2), (1, 0), (2, 5), (4, 0)]","[(1, 2), (2, 5), (4, 0)]",C,49,90
"[(0, 5), (1, 2), (2, 0), (4, 0)]","[(1, 2), (2, 5), (4, 0)]",C,56,90
"[(0, 4), (1, 2), (2, 1), (4, 0)]","[(0, 4), (2, 1), (5, 2)]",C,15,91
"[(0, 4), (1, 0), (2, 1), (4, 2)]","[(0, 4), (2, 1), (5, 2)]",C,16,91
"[(0, 2), (0, 4), (2, 1), (5, 0)]","[(0, 4), (2, 1), (5, 2)]",C,50,91
"[(0, 1), (0, 4), (2, 0), (5, 2)]","[(0, 4), (2, 1), (5, 2)]",C,59,91
"[(0, 4), (1, 2), (2, 1), (4, 0)]","[(0, 4), (1, 2), (6, 1)]",C,15,92
"[(0, 4), (1, 2), (2, 0), (4, 1)]","[(0, 4), (1, 2), (6, 1)]",C,19,92
"[(0, 2), (0, 4), (1, 0), (6, 1)]","[(0, 4), (1, 2), (6, 1)]",C,51,92
"[(0, 1), (0, 4), (1, 2), (6, 0)]","[(0, 4), (1, 2), (6, 1)]",C,60,92
"[(0, 4), (1, 0), (2, 1), (4, 2)]","[(1, 0), (2, 5), (4, 2)]",C,16,93
"[(0, 1), (1, 0), (2, 4), (4, 2)]","[(1, 0), (2, 5), (4, 2)]",C,28,93
"[(0, 2), (1, 0), (2, 5), (4, 0)]","[(1, 0), (2, 5), (4, 2)]",C,49,93
"[(0, 5), (1, 0), (2, 0), (4, 2)]","[(1, 0), (2, 5), (4, 2)]",C,65,93
"[(0, 4), (1, 0), (2, 1), (4, 2)]","[(1, 0), (2, 1), (4, 6)]",C,16,94
"[(0, 2), (1, 0), (2, 1), (4, 4)]","[(1, 0), (2, 1), (4, 6)]",C,18,94
"[(0, 6), (1, 0), (2, 1), (4, 0)]","[(1, 0), (2, 1), (4, 6)]",C,47,94
"[(0, 1), (1, 0), (2, 0), (4, 6)]","[(1, 0), (2, 1), (4, 6)]",C,66,94
"[(0, 2), (1, 4), (2, 1), (4, 0)]","[(1, 4), (2, 3), (4, 0)]",C,17,95
"[(0, 1), (1, 4), (2, 2), (4, 0)]","[(1, 4), (2, 3), (4, 0)]",C,25,95
"[(0, 4), (1, 0), (2, 3), (4, 0)]","[(1, 4), (2, 3), (4, 0)]",C,48,95
"[(0, 3), (1, 4), (2, 0), (4, 0)]","[(1, 4), (2, 3), (4, 0)]",C,68,95
"[(0, 2), (1, 4), (2, 1), (4, 0)]","[(0, 2), (2, 1), (5, 4)]",C,17,96
"[(0, 2), (1, 0), (2, 1), (4, 4)]","[(0, 2), (2, 1), (5, 4)]",C,18,96
"[(0, 2), (0, 4), (2, 1), (5, 0)]","[(0, 2), (2, 1), (5, 4)]",C,50,96
"[(0, 1), (0, 2), (2, 0), (5, 4)]","[(0, 2), (2, 1), (5, 4)]",C,70,96
"[(0, 2), (1, 4), (2, 1), (4, 0)]","[(0, 2), (1, 4), (6, 1)]",C,17,97
"[(0, 2), (1, 4), (2, 0), (4, 1)]","[(0, 2), (1, 4), (6, 1)]",C,21,97
"[(0, 2), (0, 4), (1, 0), (6, 1)]","[(0, 2), (1, 4), (6, 1)]",C,51,97
"[(0, 1), (0, 2), (1, 4), (6, 0)]","[(0, 2), (1, 4), (6, 1)]",C,71,97
"[(0, 2), (1, 0), (2, 1), (4, 4)]","[(1, 0), (2, 3), (4, 4)]",C,18,98
"[(0, 1), (1, 0), (2, 2), (4, 4)]","[(1, 0), (2, 3), (4, 4)]",C,26,98
"[(0, 4), (1, 0), (2, 3), (4, 0)]","[(1, 0), (2, 3), (4, 4)]",C,48,98
"[(0, 3), (1, 0), (2, 0), (4, 4)]","[(1, 0), (2, 3), (4, 4)]",C,75,98
"[(0, 4), (1, 2), (2, 0), (4, 1)]","[(1, 6), (2, 0), (4, 1)]",C,19,99
"[(0, 2), (1, 4), (2, 0), (4, 1)]","[(1, 6), (2, 0), (4, 1)]",C,21,99
"[(0, 6), (1, 0), (2, 0), (4, 1)]","[(1, 6), (2, 0), (4, 1)]",C,52,99
"[(0, 1), (1, 6), (2, 0), (4, 0)]","[(1, 6), (2, 0), (4, 1)]",C,57,99
"[(0, 4), (1, 2), (2, 0), (4, 1)]","[(1, 2), (2, 0), (4, 5)]",C,19,100
"[(0, 1), (1, 2), (2, 0), (4, 4)]","[(1, 2), (2, 0), (4, 5)]",C,24,100
"[(0, 2), (1, 0), (2, 0), (4, 5)]","[(1, 2), (2, 0), (4, 5)]",C,54,100
"[(0, 5), (1, 2), (2, 0), (4, 0)]","[(1, 2), (2, 0), (4, 5)]",C,56,100
"[(0, 4), (1, 2), (2, 0), (4, 1)]","[(0, 4), (3, 2), (4, 1)]",C,19,101
"[(0, 4), (1, 0), (2, 2), (4, 1)]","[(0, 4), (3, 2), (4, 1)]",C,20,101
"[(0, 2), (0, 4), (3, 0), (4, 1)]","[(0, 4), (3, 2), (4, 1)]",C,55,101
"[(0, 1), (0, 4), (3, 2), (4, 0)]","[(0, 4), (3, 2), (4, 1)]",C,58,101
"[(0, 4), (1, 0), (2, 2), (4, 1)]","[(1, 0), (2, 6), (4, 1)]",C,20,102
"[(0, 2), (1, 0), (2, 4), (4, 1)]","[(1, 0), (2, 6), (4, 1)]",C,22,102
"[(0, 6), (1, 0), (2, 0), (4, 1)]","[(1, 0), (2, 6), (4, 1)]",C,52,102
"[(0, 1), (1, 0), (2, 6), (4, 0)]","[(1, 0), (2, 6), (4, 1)]",C,62,102
"[(0, 4), (1, 0), (2, 2), (4, 1)]","[(1, 0), (2, 2), (4, 5)]",C,20,103
"[(0, 1), (1, 0), (2, 2), (4, 4)]","[(1, 0), (2, 2), (4, 5)]",C,26,103
"[(0, 2), (1, 0), (2, 0), (4, 5)]","[(1, 0), (2, 2), (4, 5)]",C,54,103
"[(0, 5), (1, 0), (2, 2), (4, 0)]","[(1, 0), (2, 2), (4, 5)]",C,61,103
"[(0, 2), (1, 4), (2, 0), (4, 1)]","[(1, 4), (2, 0), (4, 3)]",C,21,104
"[(0, 1), (1, 4), (2, 0), (4, 2)]","[(1, 4), (2, 0), (4, 3)]",C,27,104
"[(0, 4), (1, 0), (2, 0), (4, 3)]","[(1, 4), (2, 0), (4, 3)]",C,53,104
"[(0, 3), (1, 4), (2, 0), (4, 0)]","[(1, 4), (2, 0), (4, 3)]",C,68,104
"[(0, 2), (1, 4), (2, 0), (4, 1)]","[(0, 2), (3, 4), (4, 1)]",C,21,105
"[(0, 2), (1, 0), (2, 4), (4, 1)]","[(0, 2), (3, 4), (4, 1)]",C,22,105
"[(0, 2), (0, 4), (3, 0), (4, 1)]","[(0, 2), (3, 4), (4, 1)]",C,55,105
"[(0, 1), (0, 2), (3, 4), (4, 0)]","[(0, 2), (3, 4), (4, 1)]",C,69,105
"[(0, 2), (1, 0), (2, 4), (4, 1)]","[(1, 0), (2, 4), (4, 3)]",C,22,106
"[(0, 1), (1, 0), (2, 4), (4, 2)]","[(1, 0), (2, 4), (4, 3)]",C,28,106
"[(0, 4), (1, 0), (2, 0), (4, 3)]","[(1, 0), (2, 4), (4, 3)]",C,53,106
"[(0, 3), (1, 0), (2, 4), (4, 0)]","[(1, 0), (2, 4), (4, 3)]",C,72,106
"[(0, 1), (1, 2), (2, 4), (4, 0)]","[(0, 1), (2, 4), (5, 2)]",C,23,107
"[(0, 1), (1, 0), (2, 4), (4, 2)]","[(0, 1), (2, 4), (5, 2)]",C,28,107
"[(0, 1), (0, 4), (2, 0), (5, 2)]","[(0, 1), (2, 4), (5, 2)]",C,59,107
"[(0, 1), (0, 2), (2, 4), (5, 0)]","[(0, 1), (2, 4), (5, 2)]",C,73,107
"[(0, 1), (1, 2), (2, 4), (4, 0)]","[(0, 1), (1, 2), (6, 4)]",C,23,108
"[(0, 1), (1, 2), (2, 0), (4, 4)]","[(0, 1), (1, 2), (6, 4)]",C,24,108
"[(0, 1), (0, 4), (1, 2), (6, 0)]","[(0, 1), (1, 2), (6, 4)]",C,60,108
"[(0, 1), (0, 2), (1, 0), (6, 4)]","[(0, 1), (1, 2), (6, 4)]",C,74,108
"[(0, 1), (1, 2), (2, 0), (4, 4)]","[(0, 1), (3, 2), (4, 4)]",C,24,109
